Date,Close,Volume,Market_Cap,Variance,Ethereum,Litecoin,Market_Cap_stndrd,Close_stndrd,Litecoin_stndrd,Ethereum_stndrd,Volume_stndrd,Volume_divided,Market_Cap_divided
2017-05-01,1421.6,713624000,23179524919,8924.718,76.3,15.92,-1.5846344735857698,-1.5664109513735143,-1.1849613327239301,-1.374893046588154,-1.0909526779158352,713.624,2317.9524919
2017-05-02,1452.82,477337984,23691443738,8924.718,77.26,15.9,-1.5759229150578928,-1.5574460132234942,-1.1852592826024306,-1.3712083079053035,-1.15135760790402,477.337984,2369.1443738
2017-05-03,1490.09,583795968,24301634925,8924.718,79.72,21.04,-1.565539010342045,-1.5467437952590082,-1.1086861638277519,-1.3617661650304989,-1.1241423406653388,583.795968,2430.1634925
2017-05-04,1537.67,933548992,25080858487,8924.718,96.98,23.39,-1.5522786037800744,-1.5330810227677218,-1.0736770531039201,-1.2955176341284138,-1.0347303336175926,933.548992,2508.0858487
2017-05-05,1555.45,946035968,25373374563,8924.718,94.4,26.27,-1.5473007228703692,-1.527975430189011,-1.03077227059982,-1.3054203693385749,-1.0315381222298305,946.035968,2537.3374563
2017-05-06,1578.8,582529984,25757608890,8924.718,97.81,28.16,-1.540762030203007,-1.521270391566238,-1.0026160070815042,-1.2923318704755327,-1.1244659809559523,582.529984,2575.760889
2017-05-07,1596.71,1080029952,26053077975,8924.718,94.01,30.29,-1.535733896577867,-1.5161274690080424,-0.9708843450211799,-1.306917294428483,-0.9972834618848105,1080.029952,2605.3077975
2017-05-08,1723.35,1340320000,28123369330,8924.718,91.42,28.96,-1.5005027942244284,-1.4797623259164807,-0.9906980119414763,-1.316858412333257,-0.9307420626423719,1340.32,2812.336933
2017-05-09,1755.36,1167920000,28649119972,8924.718,91.16,33.58,-1.49155585318835,-1.470570536352671,-0.9218715900078155,-1.3178563623931956,-0.9748149625382466,1167.92,2864.9119972
2017-05-10,1787.13,915723008,29170965564,8924.718,89.52,31.96,-1.4826753661882761,-1.461447663674063,-0.9460055301663719,-1.3241511243097324,-1.0392874264736103,915.723008,2917.0965564
2017-05-11,1848.57,799489984,30176934751,8924.718,89.88,30.72,-1.4655563248002088,-1.4438049410623641,-0.964478422633415,-1.3227693473036632,-1.0690016169106566,799.489984,3017.6934751
2017-05-12,1724.24,740984000,28150631936,8924.718,88.66,27.45,-1.5000388538905776,-1.479506759133857,-1.0131932277682787,-1.3274520360464523,-1.0839582780251675,740.984,2815.0631936
2017-05-13,1804.91,579635008,29471223857,8924.718,90.84,28.91,-1.4775657324028653,-1.456342071095352,-0.9914428866377281,-1.3190846086208128,-1.1252060620896471,579.635008,2947.1223857
2017-05-14,1808.91,437196000,29540290794,8924.718,90.79,28.89,-1.4763903884973764,-1.4551934563419862,-0.9917408365162287,-1.3192765220938776,-1.161619635992499,437.196,2954.0290794
2017-05-15,1738.43,731529024,28392885375,8924.718,92.41,25.37,-1.4959163154448323,-1.4754320482962917,-1.044180015132351,-1.3130585255665672,-1.086375379015689,731.529024,2839.2885375
2017-05-16,1734.45,959044992,28330874003,8924.718,89.44,23.33,-1.4969715915482331,-1.4765749199758909,-1.0745709027394221,-1.3244581858666364,-1.0282124527838035,959.044992,2833.0874003
2017-05-17,1839.09,1064729984,30043626195,8924.718,89.86,25.4,-1.4678248979503996,-1.4465271580278412,-1.0437330903146003,-1.3228461126928892,-1.0011947957483494,1064.729984,3004.3626195
2017-05-18,1888.65,894321024,30856574835,8924.718,96.91,28.36,-1.453990576189476,-1.4322958212336387,-0.9996365082964972,-1.295786312990705,-1.0447586996662155,894.321024,3085.6574835
2017-05-19,1987.71,1157289984,32479082015,8924.718,129.53,27.7,-1.426379623562101,-1.4038503768665342,-1.00946885428702,-1.1705819631630108,-0.9775324545977567,1157.289984,3247.9082015
2017-05-20,2084.73,961336000,34068630559,8924.718,126.52,27.51,-1.3993295432368495,-1.3759907260236468,-1.0122993781327767,-1.1821351542415321,-1.0276267720051224,961.336,3406.8630559
2017-05-21,2041.2,1147859968,33361091114,8924.718,157.94,26.3,-1.4113700681348005,-1.38849052607715,-1.030325345782069,-1.061536727767401,-0.9799431747322376,1147.859968,3336.1091114
2017-05-22,2173.4,1942220032,35525744380,8924.718,174.26,25.38,-1.3745331656428073,-1.35052880847841,-1.044031040193101,-0.9988961701589408,-0.7768703697325126,1942.220032,3552.574438
2017-05-23,2320.42,1378749952,37933704066,8924.718,181.95,32.11,-1.3335558056419874,-1.3083114732184495,-0.9437709060776166,-0.9693798780015229,-0.9209177040141859,1378.749952,3793.3704066
2017-05-24,2443.64,1725379968,39952841999,8924.718,190.05,34.45,-1.2991952046514887,-1.2729283957410158,-0.9089107702930351,-0.938289895364971,-0.8323040729464746,1725.379968,3995.2841999
2017-05-25,2304.98,2406700032,37690456715,8924.718,174.45,29.9,-1.3376952579464114,-1.3127451261664416,-0.9766943676519437,-0.9981668989612933,-0.6581291832845086,2406.700032,3769.0456715
2017-05-26,2202.42,1763480064,36017660894,8924.718,160.4,23.75,-1.366161995559802,-1.3421956084427409,-1.0683139552909076,-1.0520945848925962,-0.8225640397850407,1763.480064,3601.7660894
2017-05-27,2038.87,1700480000,33347170525,8924.718,157.76,23.74,-1.4116069612149433,-1.3891595941709856,-1.068462930230158,-1.0622276162704354,-0.8386695822102477,1700.48,3334.7170525
2017-05-28,2155.8,1147139968,35264171110,8924.718,170.51,24.22,-1.3789844785587584,-1.3555827133932195,-1.0613121331461413,-1.0132896806388259,-0.9801272378872552,1147.139968,3526.417111
2017-05-29,2255.61,994625024,36901102917,8924.718,194.91,25.21,-1.3511280554042424,-1.326921903759859,-1.046563614160357,-0.9196359057830399,-1.0191166570261005,994.625024,3690.1102917
2017-05-30,2175.47,1443970048,35594903085,8924.718,231.91,24.14,-1.373356260078959,-1.3499344003435434,-1.062503932660144,-0.7776199357148397,-0.90424462534709,1443.970048,3559.4903085
2017-05-31,2286.41,1544829952,37414813240,8924.718,230.67,25.3,-1.3423860100269476,-1.3180775701589424,-1.0452228397071037,-0.7823793898468551,-0.8784604695901321,1544.829952,3741.481324
2017-06-01,2407.88,1653180032,39407633763,8924.718,222.24,28.8,-1.3084732645342505,-1.283197011636106,-0.9930816109694819,-0.8147360014056368,-0.8507615007412342,1653.180032,3940.7633763
2017-06-02,2488.55,1317030016,40732491835,8924.718,223.77,28.94,-1.2859275439883557,-1.260032323597601,-0.990995961819977,-0.8088634491298436,-0.9366959903303564,1317.030016,4073.2491835
2017-06-03,2515.35,1514950016,41177190057,8924.718,224.38,27.66,-1.2783599093470595,-1.25233660475005,-1.0100647540440215,-0.8065221047584491,-0.8860990741621921,1514.950016,4117.7190057
2017-06-04,2511.81,1355120000,41124262595,8924.718,245.33,27.94,-1.2792606003664788,-1.253353128806779,-1.0058934557450119,-0.7261103595441573,-0.9269585422336774,1355.12,4112.4262595
2017-06-05,2686.81,1369309952,43994968834,8924.718,248.46,30.84,-1.2304084689557941,-1.2031012333470246,-0.9626907233624108,-0.7140965761302798,-0.923330976491083,1369.309952,4399.4968834
